"Gene","Neratinib","Vorinostat","Bortezomib","Number.of.drugs"
"PGAM1",TRUE,TRUE,TRUE,3
"PHLDA2",TRUE,TRUE,TRUE,3
"PHPT1",TRUE,TRUE,TRUE,3
"PMEPA1",TRUE,TRUE,TRUE,3
"PMP22",TRUE,TRUE,TRUE,3
"POMP",TRUE,TRUE,TRUE,3
"PPIB",TRUE,TRUE,TRUE,3
"PPIC",TRUE,TRUE,TRUE,3
"PRDX4",TRUE,TRUE,TRUE,3
"PRELID1",TRUE,TRUE,TRUE,3
"PRKCDBP",TRUE,TRUE,TRUE,3
"PSMA7",TRUE,TRUE,TRUE,3
"PSMB5",TRUE,TRUE,TRUE,3
"PSMG2",TRUE,TRUE,TRUE,3
"PYCR1",TRUE,TRUE,TRUE,3
"RAB2A",TRUE,TRUE,TRUE,3
"RAB31",TRUE,TRUE,TRUE,3
"RABAC1",TRUE,TRUE,TRUE,3
"RAC1",TRUE,TRUE,TRUE,3
"RBX1",TRUE,TRUE,TRUE,3
"REEP3",TRUE,TRUE,TRUE,3
"RER1",TRUE,TRUE,TRUE,3
"REXO2",TRUE,TRUE,TRUE,3
"RHOA",TRUE,TRUE,TRUE,3
"RNF7",TRUE,TRUE,TRUE,3
"RP11-14N7.2",TRUE,TRUE,TRUE,3
"RPS19BP1",TRUE,TRUE,TRUE,3
"RPS27L",TRUE,TRUE,TRUE,3
"RPS5",TRUE,TRUE,TRUE,3
"RPS6",TRUE,TRUE,TRUE,3
"RRBP1",TRUE,TRUE,TRUE,3
"S100A6",TRUE,TRUE,TRUE,3
"SCARB2",TRUE,TRUE,TRUE,3
"SDC1",TRUE,TRUE,TRUE,3
"SDC2",TRUE,TRUE,TRUE,3
"SEC11A",TRUE,TRUE,TRUE,3
"SEC13",TRUE,TRUE,TRUE,3
"SEC61B",TRUE,TRUE,TRUE,3
"SEC61G",TRUE,TRUE,TRUE,3
"SELM",TRUE,TRUE,TRUE,3
"SEP15",TRUE,TRUE,TRUE,3
"SEPT7",TRUE,TRUE,TRUE,3
"SERF2",TRUE,TRUE,TRUE,3
"SERPINB6",TRUE,TRUE,TRUE,3
"SF3B6",TRUE,TRUE,TRUE,3
"SHFM1",TRUE,TRUE,TRUE,3
"SLC25A3",TRUE,TRUE,TRUE,3
"SLC39A13",TRUE,TRUE,TRUE,3
"SMCO4",TRUE,TRUE,TRUE,3
"SNX3",TRUE,TRUE,TRUE,3
"SPCS1",TRUE,TRUE,TRUE,3
"SRP14",TRUE,TRUE,TRUE,3
"SRP9",TRUE,TRUE,TRUE,3
"SSR2",TRUE,TRUE,TRUE,3
"SSR4",TRUE,TRUE,TRUE,3
"SUMO1",TRUE,TRUE,TRUE,3
"SUMO2",TRUE,TRUE,TRUE,3
"SURF4",TRUE,TRUE,TRUE,3
"TIMP1",TRUE,TRUE,TRUE,3
"TKT",TRUE,TRUE,TRUE,3
"TMED10",TRUE,TRUE,TRUE,3
"TMED2",TRUE,TRUE,TRUE,3
"TMED3",TRUE,TRUE,TRUE,3
"TMEM14C",TRUE,TRUE,TRUE,3
"TMEM167A",TRUE,TRUE,TRUE,3
"TMEM208",TRUE,TRUE,TRUE,3
"TMEM50A",TRUE,TRUE,TRUE,3
"TMEM59",TRUE,TRUE,TRUE,3
"TPM1",TRUE,TRUE,TRUE,3
"TPM2",TRUE,TRUE,TRUE,3
"TPM4",TRUE,TRUE,TRUE,3
"TSC22D1",TRUE,TRUE,TRUE,3
"TSPAN3",TRUE,TRUE,TRUE,3
"UBE2E2",TRUE,TRUE,TRUE,3
"UQCR11",TRUE,TRUE,TRUE,3
"VDAC1",TRUE,TRUE,TRUE,3
"YBX1",TRUE,TRUE,TRUE,3
"YIF1A",TRUE,TRUE,TRUE,3
"YIPF3",TRUE,TRUE,TRUE,3
"YWHAB",TRUE,TRUE,TRUE,3
"YWHAH",TRUE,TRUE,TRUE,3
"ZNHIT1",TRUE,TRUE,TRUE,3
"ACTB",FALSE,TRUE,TRUE,2
"ADAM12",FALSE,TRUE,TRUE,2
"ADAMTS12",FALSE,TRUE,TRUE,2
"ADAMTS2",FALSE,TRUE,TRUE,2
"AEBP1",FALSE,TRUE,TRUE,2
"ANTXR1",FALSE,TRUE,TRUE,2
"ANXA11",FALSE,TRUE,TRUE,2
"ARF5",FALSE,TRUE,TRUE,2
"ARHGAP1",FALSE,TRUE,TRUE,2
"ARHGDIB",FALSE,TRUE,TRUE,2
"ASPN",FALSE,TRUE,TRUE,2
"ATP5D",FALSE,TRUE,TRUE,2
"ATP5G2",FALSE,TRUE,TRUE,2
"BGN",FALSE,TRUE,TRUE,2
"BMP1",FALSE,TRUE,TRUE,2
"C11orf96",FALSE,TRUE,TRUE,2
"C12orf75",FALSE,TRUE,TRUE,2
"C1QTNF6",FALSE,TRUE,TRUE,2
"C4orf3",FALSE,TRUE,TRUE,2
"C4orf48",FALSE,TRUE,TRUE,2
"C9orf16",FALSE,TRUE,TRUE,2
"CALM1",FALSE,TRUE,TRUE,2
"CALM3",FALSE,TRUE,TRUE,2
"CAPZB",FALSE,TRUE,TRUE,2
"CCDC107",FALSE,TRUE,TRUE,2
"CCDC80",FALSE,TRUE,TRUE,2
"CCDC85B",FALSE,TRUE,TRUE,2
"CD248",FALSE,TRUE,TRUE,2
"CD99",FALSE,TRUE,TRUE,2
"CDH11",FALSE,TRUE,TRUE,2
"CDKN2A",FALSE,TRUE,TRUE,2
"CERCAM",FALSE,TRUE,TRUE,2
"CFL1",FALSE,TRUE,TRUE,2
"CHCHD10",FALSE,TRUE,TRUE,2
"CHN1",FALSE,TRUE,TRUE,2
"CIB1",FALSE,TRUE,TRUE,2
"CMTM3",FALSE,TRUE,TRUE,2
"COL10A1",FALSE,TRUE,TRUE,2
"COL12A1",FALSE,TRUE,TRUE,2
"COL14A1",FALSE,TRUE,TRUE,2
"COL18A1",FALSE,TRUE,TRUE,2
"COL1A1",FALSE,TRUE,TRUE,2
"COL1A2",FALSE,TRUE,TRUE,2
"COL3A1",FALSE,TRUE,TRUE,2
"COL5A1",FALSE,TRUE,TRUE,2
"COL5A2",FALSE,TRUE,TRUE,2
"COL6A3",FALSE,TRUE,TRUE,2
"COL8A1",FALSE,TRUE,TRUE,2
"COX4I2",FALSE,TRUE,TRUE,2
"CRTAP",FALSE,TRUE,TRUE,2
"CST3",FALSE,TRUE,TRUE,2
"CTD-3252C9.4",FALSE,TRUE,TRUE,2
"CTHRC1",FALSE,TRUE,TRUE,2
"CTSB",FALSE,TRUE,TRUE,2
"CTSK",FALSE,TRUE,TRUE,2
"CUTA",FALSE,TRUE,TRUE,2
"CYBA",FALSE,TRUE,TRUE,2
"DBI",FALSE,TRUE,TRUE,2
"DCN",FALSE,TRUE,TRUE,2
"DIO2",FALSE,TRUE,TRUE,2
"DNPH1",FALSE,TRUE,TRUE,2
"DUSP1",FALSE,TRUE,TRUE,2
"DYNLL1",FALSE,TRUE,TRUE,2
"ECM1",FALSE,TRUE,TRUE,2
"EDNRA",FALSE,TRUE,TRUE,2
"EEF1A1",FALSE,TRUE,TRUE,2
"EFEMP2",FALSE,TRUE,TRUE,2
"EID1",FALSE,TRUE,TRUE,2
"EIF3K",FALSE,TRUE,TRUE,2
"EMP3",FALSE,TRUE,TRUE,2
"FAM127A",FALSE,TRUE,TRUE,2
"FAM162A",FALSE,TRUE,TRUE,2
"FAP",FALSE,TRUE,TRUE,2
"FBLN2",FALSE,TRUE,TRUE,2
"FBN1",FALSE,TRUE,TRUE,2
"FILIP1L",FALSE,TRUE,TRUE,2
"FIS1",FALSE,TRUE,TRUE,2
"FKBP10",FALSE,TRUE,TRUE,2
"FKBP7",FALSE,TRUE,TRUE,2
"FLYWCH2",FALSE,TRUE,TRUE,2
"FN1",FALSE,TRUE,TRUE,2
"FOS",FALSE,TRUE,TRUE,2
"FOXS1",FALSE,TRUE,TRUE,2
"FRZB",FALSE,TRUE,TRUE,2
"GAPDH",FALSE,TRUE,TRUE,2
"GGT5",FALSE,TRUE,TRUE,2
"GLIPR2",FALSE,TRUE,TRUE,2
"GPX8",FALSE,TRUE,TRUE,2
"GREM1",FALSE,TRUE,TRUE,2
"GRN",FALSE,TRUE,TRUE,2
"GTF3A",FALSE,TRUE,TRUE,2
"GUCY1A3",FALSE,TRUE,TRUE,2
"GUCY1B3",FALSE,TRUE,TRUE,2
"H3F3A",FALSE,TRUE,TRUE,2
"HCFC1R1",FALSE,TRUE,TRUE,2
"HIGD2A",FALSE,TRUE,TRUE,2
"HINT1",FALSE,TRUE,TRUE,2
"HOPX",FALSE,TRUE,TRUE,2
"HSPA6",FALSE,TRUE,TRUE,2
"HTRA1",FALSE,TRUE,TRUE,2
"HTRA3",FALSE,TRUE,TRUE,2
"IAH1",FALSE,TRUE,TRUE,2
"ID1",FALSE,TRUE,TRUE,2
"ID3",FALSE,TRUE,TRUE,2
"IFI27",FALSE,TRUE,TRUE,2
"IGFBP4",FALSE,TRUE,TRUE,2
"IGFBP5",FALSE,TRUE,TRUE,2
"IGFBP7",FALSE,TRUE,TRUE,2
"INAFM1",FALSE,TRUE,TRUE,2
"ISLR",FALSE,TRUE,TRUE,2
"KLF9",FALSE,TRUE,TRUE,2
"LAMA4",FALSE,TRUE,TRUE,2
"LAMP5",FALSE,TRUE,TRUE,2
"LDHB",FALSE,TRUE,TRUE,2
"LHFP",FALSE,TRUE,TRUE,2
"LOXL1",FALSE,TRUE,TRUE,2
"LRRC17",FALSE,TRUE,TRUE,2
"LRRC32",FALSE,TRUE,TRUE,2
"LSM8",FALSE,TRUE,TRUE,2
"LUM",FALSE,TRUE,TRUE,2
"MAGED2",FALSE,TRUE,TRUE,2
"MATN3",FALSE,TRUE,TRUE,2
"MFAP2",FALSE,TRUE,TRUE,2
"MMP11",FALSE,TRUE,TRUE,2
"MMP14",FALSE,TRUE,TRUE,2
"MPG",FALSE,TRUE,TRUE,2
"MT-CO1",FALSE,TRUE,TRUE,2
"MT-CO2",FALSE,TRUE,TRUE,2
"MT-ND4",FALSE,TRUE,TRUE,2
"MTRNR2L12",FALSE,TRUE,TRUE,2
"MXRA5",FALSE,TRUE,TRUE,2
"MXRA8",FALSE,TRUE,TRUE,2
"MYL9",FALSE,TRUE,TRUE,2
"NDUFA4L2",FALSE,TRUE,TRUE,2
"NDUFB10",FALSE,TRUE,TRUE,2
"NDUFS8",FALSE,TRUE,TRUE,2
"NFKBIA",FALSE,TRUE,TRUE,2
"NID1",FALSE,TRUE,TRUE,2
"NOX4",FALSE,TRUE,TRUE,2
"NREP",FALSE,TRUE,TRUE,2
"OLFM2",FALSE,TRUE,TRUE,2
"OLFML2B",FALSE,TRUE,TRUE,2
"OSBPL8",FALSE,TRUE,TRUE,2
"PCOLCE",FALSE,TRUE,TRUE,2
"PDGFRB",FALSE,TRUE,TRUE,2
"PDLIM2",FALSE,TRUE,TRUE,2
"PFN1",FALSE,TRUE,TRUE,2
"PKIG",FALSE,TRUE,TRUE,2
"PLAC9",FALSE,TRUE,TRUE,2
"PLPP4",FALSE,TRUE,TRUE,2
"POLD4",FALSE,TRUE,TRUE,2
"POSTN",FALSE,TRUE,TRUE,2
"PPDPF",FALSE,TRUE,TRUE,2
"PPIA",FALSE,TRUE,TRUE,2
"PRRX1",FALSE,TRUE,TRUE,2
"PRSS23",FALSE,TRUE,TRUE,2
"PTK7",FALSE,TRUE,TRUE,2
"PTP4A3",FALSE,TRUE,TRUE,2
"RAMP1",FALSE,TRUE,TRUE,2
"RBM3",FALSE,TRUE,TRUE,2
"RCAN2",FALSE,TRUE,TRUE,2
"RCN3",FALSE,TRUE,TRUE,2
"RGS16",FALSE,TRUE,TRUE,2
"RGS5",FALSE,TRUE,TRUE,2
"RP11-417E7.2",FALSE,TRUE,TRUE,2
"RPL10",FALSE,TRUE,TRUE,2
"RPLP0",FALSE,TRUE,TRUE,2
"RPS13",FALSE,TRUE,TRUE,2
"S100A4",FALSE,TRUE,TRUE,2
"SCP2",FALSE,TRUE,TRUE,2
"SDCBP",FALSE,TRUE,TRUE,2
"SEPT11",FALSE,TRUE,TRUE,2
"SEPT4",FALSE,TRUE,TRUE,2
"SEPW1",FALSE,TRUE,TRUE,2
"SERPINE2",FALSE,TRUE,TRUE,2
"SERPINF1",FALSE,TRUE,TRUE,2
"SERPINH1",FALSE,TRUE,TRUE,2
"SFRP2",FALSE,TRUE,TRUE,2
"SH3BGRL",FALSE,TRUE,TRUE,2
"SH3BGRL3",FALSE,TRUE,TRUE,2
"SHISA4",FALSE,TRUE,TRUE,2
"SLC25A5",FALSE,TRUE,TRUE,2
"SLC25A6",FALSE,TRUE,TRUE,2
"SLC2A3",FALSE,TRUE,TRUE,2
"SMARCB1",FALSE,TRUE,TRUE,2
"SORBS3",FALSE,TRUE,TRUE,2
"SPARC",FALSE,TRUE,TRUE,2
"SPARCL1",FALSE,TRUE,TRUE,2
"SPON2",FALSE,TRUE,TRUE,2
"SULF1",FALSE,TRUE,TRUE,2
"TAGLN2",FALSE,TRUE,TRUE,2
"TCF4",FALSE,TRUE,TRUE,2
"TGFB1",FALSE,TRUE,TRUE,2
"TGFB1I1",FALSE,TRUE,TRUE,2
"THBS2",FALSE,TRUE,TRUE,2
"THY1",FALSE,TRUE,TRUE,2
"TIMP2",FALSE,TRUE,TRUE,2
"TIMP3",FALSE,TRUE,TRUE,2
"TMEM119",FALSE,TRUE,TRUE,2
"TMEM179B",FALSE,TRUE,TRUE,2
"TMEM204",FALSE,TRUE,TRUE,2
"TMEM219",FALSE,TRUE,TRUE,2
"TMEM230",FALSE,TRUE,TRUE,2
"TMSB4X",FALSE,TRUE,TRUE,2
"TNFAIP6",FALSE,TRUE,TRUE,2
"TRAPPC1",FALSE,TRUE,TRUE,2
"TSC22D3",FALSE,TRUE,TRUE,2
"TSPAN4",FALSE,TRUE,TRUE,2
"TSPO",FALSE,TRUE,TRUE,2
"UACA",FALSE,TRUE,TRUE,2
"UBB",FALSE,TRUE,TRUE,2
"VAMP5",FALSE,TRUE,TRUE,2
"VAT1",FALSE,TRUE,TRUE,2
"VCAN",FALSE,TRUE,TRUE,2
"VIM",FALSE,TRUE,TRUE,2
"VPS28",FALSE,TRUE,TRUE,2
"VPS29",FALSE,TRUE,TRUE,2
"WFDC1",FALSE,TRUE,TRUE,2
"WNT2",FALSE,TRUE,TRUE,2
"YWHAZ",FALSE,TRUE,TRUE,2
"ZFAND2A",FALSE,TRUE,TRUE,2
"AACS",TRUE,FALSE,FALSE,1
"AAED1",TRUE,FALSE,FALSE,1
"AAGAB",TRUE,FALSE,FALSE,1
"AAK1",TRUE,FALSE,FALSE,1
"AAMDC",TRUE,FALSE,FALSE,1
"AAMP",TRUE,FALSE,FALSE,1
"AAR2",TRUE,FALSE,FALSE,1
"AARD",TRUE,FALSE,FALSE,1
"AARS",TRUE,FALSE,FALSE,1
"AARSD1",TRUE,FALSE,FALSE,1
"AATF",TRUE,FALSE,FALSE,1
"ABCA12",TRUE,FALSE,FALSE,1
"ABCC3",TRUE,FALSE,FALSE,1
"ABCE1",TRUE,FALSE,FALSE,1
"ABCF1",TRUE,FALSE,FALSE,1
"ABCF2",TRUE,FALSE,FALSE,1
"ABCF3",TRUE,FALSE,FALSE,1
"ABHD11",TRUE,FALSE,FALSE,1
"ABHD2",TRUE,FALSE,FALSE,1
"ABHD4",TRUE,FALSE,FALSE,1
"ABI1",TRUE,FALSE,FALSE,1
"ABI2",TRUE,FALSE,FALSE,1
"ABL2",TRUE,FALSE,FALSE,1
"ABLIM3",TRUE,FALSE,FALSE,1
"ABT1",TRUE,FALSE,FALSE,1
"ABTB2",TRUE,FALSE,FALSE,1
"AC002310.12",TRUE,FALSE,FALSE,1
"AC002467.7",TRUE,FALSE,FALSE,1
"AC003092.1",TRUE,FALSE,FALSE,1
"AC004069.2",TRUE,FALSE,FALSE,1
"AC004231.2",TRUE,FALSE,FALSE,1
"AC004510.3",TRUE,FALSE,FALSE,1
"AC004951.6",TRUE,FALSE,FALSE,1
"AC005152.3",TRUE,FALSE,FALSE,1
"AC005253.2",TRUE,FALSE,FALSE,1
"AC005339.2",TRUE,FALSE,FALSE,1
"AC005487.2",TRUE,FALSE,FALSE,1
"AC005523.2",TRUE,FALSE,FALSE,1
"AC006946.16",TRUE,FALSE,FALSE,1
"AC010287.1",TRUE,FALSE,FALSE,1
"AC013461.1",TRUE,FALSE,FALSE,1
"AC016549.1",TRUE,FALSE,FALSE,1
"AC023115.2",TRUE,FALSE,FALSE,1
"AC024560.2",TRUE,FALSE,FALSE,1
"AC069513.4",TRUE,FALSE,FALSE,1
"AC074117.10",TRUE,FALSE,FALSE,1
"AC079354.5",TRUE,FALSE,FALSE,1
"AC084219.4",TRUE,FALSE,FALSE,1
"AC093323.3",TRUE,FALSE,FALSE,1
"AC093673.5",TRUE,FALSE,FALSE,1
"AC137932.4",TRUE,FALSE,FALSE,1
"AC137934.1",TRUE,FALSE,FALSE,1
"ACAA2",TRUE,FALSE,FALSE,1
"ACACA",TRUE,FALSE,FALSE,1
"ACADVL",TRUE,FALSE,FALSE,1
"ACAT1",TRUE,FALSE,FALSE,1
"ACBD3",TRUE,FALSE,FALSE,1
"ACHE",TRUE,FALSE,FALSE,1
"ACIN1",TRUE,FALSE,FALSE,1
"ACLY",TRUE,FALSE,FALSE,1
"ACO2",TRUE,FALSE,FALSE,1
"ACOT9",TRUE,FALSE,FALSE,1
"ACP1",TRUE,FALSE,FALSE,1
"ACP2",TRUE,FALSE,FALSE,1
"ACSL1",TRUE,FALSE,FALSE,1
"ACSL3",TRUE,FALSE,FALSE,1
"ACTG1",TRUE,FALSE,FALSE,1
"ACTL6A",TRUE,FALSE,FALSE,1
"ACTN1",TRUE,FALSE,FALSE,1
"ACTN4",TRUE,FALSE,FALSE,1
"ACTR10",TRUE,FALSE,FALSE,1
"ACTR2",TRUE,FALSE,FALSE,1
"ACTR3",TRUE,FALSE,FALSE,1
"ACTR3B",TRUE,FALSE,FALSE,1
"ACTR6",TRUE,FALSE,FALSE,1
"ACVR1",TRUE,FALSE,FALSE,1
"ACVR1B",TRUE,FALSE,FALSE,1
"ACVR2B",TRUE,FALSE,FALSE,1
"ADAM17",TRUE,FALSE,FALSE,1
"ADAM32",TRUE,FALSE,FALSE,1
"ADAM9",TRUE,FALSE,FALSE,1
"ADAMTS17",TRUE,FALSE,FALSE,1
"ADCK2",TRUE,FALSE,FALSE,1
"ADCK4",TRUE,FALSE,FALSE,1
"ADGRA3",TRUE,FALSE,FALSE,1
"ADGRF1",TRUE,FALSE,FALSE,1
"ADGRF4",TRUE,FALSE,FALSE,1
"ADGRV1",TRUE,FALSE,FALSE,1
"ADIPOR1",TRUE,FALSE,FALSE,1
"ADIRF",TRUE,FALSE,FALSE,1
"ADK",TRUE,FALSE,FALSE,1
"ADM",TRUE,FALSE,FALSE,1
"ADM2",TRUE,FALSE,FALSE,1
"ADNP",TRUE,FALSE,FALSE,1
"ADNP2",TRUE,FALSE,FALSE,1
"ADO",TRUE,FALSE,FALSE,1
"ADORA2B",TRUE,FALSE,FALSE,1
"ADPRHL1",TRUE,FALSE,FALSE,1
"ADPRHL2",TRUE,FALSE,FALSE,1
"ADPRM",TRUE,FALSE,FALSE,1
"ADRM1",TRUE,FALSE,FALSE,1
"ADSL",TRUE,FALSE,FALSE,1
"AEN",TRUE,FALSE,FALSE,1
"AF127936.9",TRUE,FALSE,FALSE,1
"AF186192.6",TRUE,FALSE,FALSE,1
"AFF4",TRUE,FALSE,FALSE,1
"AFG3L2",TRUE,FALSE,FALSE,1
"AFMID",TRUE,FALSE,FALSE,1
"AFTPH",TRUE,FALSE,FALSE,1
"AGAP1",TRUE,FALSE,FALSE,1
"AGAP2-AS1",TRUE,FALSE,FALSE,1
"AGAP4",TRUE,FALSE,FALSE,1
"AGAP6",TRUE,FALSE,FALSE,1
"AGAP9",TRUE,FALSE,FALSE,1
"AGFG1",TRUE,FALSE,FALSE,1
"AGO2",TRUE,FALSE,FALSE,1
"AGPAT2",TRUE,FALSE,FALSE,1
"AGPAT5",TRUE,FALSE,FALSE,1
"AGPS",TRUE,FALSE,FALSE,1
"AGR2",TRUE,FALSE,FALSE,1
"AGR3",TRUE,FALSE,FALSE,1
"AGTRAP",TRUE,FALSE,FALSE,1
"AGXT",TRUE,FALSE,FALSE,1
"AHCYL1",TRUE,FALSE,FALSE,1
"AHDC1",TRUE,FALSE,FALSE,1
"AHI1",TRUE,FALSE,FALSE,1
"AHNAK",TRUE,FALSE,FALSE,1
"AHNAK2",TRUE,FALSE,FALSE,1
"AHSA1",TRUE,FALSE,FALSE,1
"AIDA",TRUE,FALSE,FALSE,1
"AIFM1",TRUE,FALSE,FALSE,1
"AIFM2",TRUE,FALSE,FALSE,1
"AIG1",TRUE,FALSE,FALSE,1
"AIMP1",TRUE,FALSE,FALSE,1
"AIMP2",TRUE,FALSE,FALSE,1
"AJUBA",TRUE,FALSE,FALSE,1
"AK1",TRUE,FALSE,FALSE,1
"AK2",TRUE,FALSE,FALSE,1
"AK4",TRUE,FALSE,FALSE,1
"AK6",TRUE,FALSE,FALSE,1
"AK9",TRUE,FALSE,FALSE,1
"AKAP1",TRUE,FALSE,FALSE,1
"AKAP10",TRUE,FALSE,FALSE,1
"AKAP12",TRUE,FALSE,FALSE,1
"AKAP17A",TRUE,FALSE,FALSE,1
"AKAP8",TRUE,FALSE,FALSE,1
